ensembl_gene_id	ensembl_transcript_id	chromosome_name	mgi_symbol	description	GR1.logFC	GR1.logCPM	GR1.LR	GR1.PValue	GR1.FDR	GR2.logFC	GR2.logCPM	GR2.LR	GR2.PValue	GR2.FDR
ENSMUSG00000033740	ENSMUST00000140079	1	St18	suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]	-0.381339875910087	1.89712296529878	0.161339985013601	0.68792580990059	0.784414105315218	-0.485433276692856	1.89712296529878	0.308890276955761	0.578361955355645	0.707244842342975
ENSMUSG00000102135	ENSMUST00000194605	1	Gm37108	predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]	-0.695464926034293	2.6831205313057	1.58204740685311	0.208466027406487	0.34021035699423	0.0482699455655013	2.6831205313057	0.00753586789595673	0.930823034175782	0.984653763863056
ENSMUSG00000051285	ENSMUST00000061280	1	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]	0.981943069308314	10.4120130680559	66.3195616447343	3.83434449271624e-16	6.47414320116318e-15	0.924013333549409	10.4120130680559	58.2385259787128	2.32187243572555e-14	4.85381904420722e-13
ENSMUSG00000098201	ENSMUST00000182051	1	Gm26983	predicted gene, 26983 [Source:MGI Symbol;Acc:MGI:5504098]	-0.0932360992752929	1.38101641006733	0.0042638636898058	0.947936522033974	0.976937154027735	0.693351338013585	1.38101641006733	0.278909788420469	0.597416671835419	0.72113138971897
ENSMUSG00000048538	ENSMUST00000029124	1	Gm9826	predicted gene 9826 [Source:MGI Symbol;Acc:MGI:3642725]	-1.15055448616728	3.51781679241009	6.90671918461281	0.00858724157519714	0.0241653785353304	1.01130674708626	3.51781679241009	6.6611248597167	0.0098538695437791	0.0273787894286014
ENSMUSG00000097797	ENSMUST00000181554	1	Gm26901	predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]	-0.225160246711497	4.3595808390222	0.235567517158184	0.627425978559817	0.743327544262377	0.510442286277643	4.3595808390222	1.33460639534102	0.247987385636617	0.369692782847503
ENSMUSG00000103067	ENSMUST00000194886	1	Gm30414	predicted gene, 30414 [Source:MGI Symbol;Acc:MGI:5589573]	-1.62521462631619	1.41849068303634	1.44875225203516	0.228728269774439	0.350183913039637	3.43634478796459	1.41849068303634	6.30246971423981	0.0120569879979046	0.0328758865284479
ENSMUSG00000025909	ENSMUST00000132064	1	Sntg1	syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]	0.0611836298690329	4.07786600662219	0.0368320852132218	0.847807322271688	0.914465391836047	0.0894868279461976	4.07786600662219	0.0757505868361044	0.783140888251978	0.861651252989018
ENSMUSG00000103933	ENSMUST00000191876	1	Gm36964	predicted gene, 36964 [Source:MGI Symbol;Acc:MGI:5610192]	0.667883451354792	5.46213606168567	9.15937633696086	0.00247446887284981	0.00787167996508018	0.374691441117674	5.46213606168567	2.8378444444452	0.0920676460789459	0.182885505107046
ENSMUSG00000076135	ENSMUST00000102181	1	Gm24276	predicted gene, 24276 [Source:MGI Symbol;Acc:MGI:5454053]	0.768525087793507	4.09987090383869	4.81049834200297	0.0282868639844461	0.068988518273177	0.643217107871321	4.09987090383869	4.17877022893467	0.0409333925155106	0.0935924964286935
ENSMUSG00000101571	ENSMUST00000040649	1	Gm6187	predicted gene 6187 [Source:MGI Symbol;Acc:MGI:3648954]	-0.02723282126065	2.48827284819881	0.00182482799783834	0.965926326320444	0.983855353259106	1.08790486566998	2.48827284819881	2.6387387080518	0.104286308368628	0.198628873681312
ENSMUSG00000103411	ENSMUST00000192792	1	Gm18300	predicted gene, 18300 [Source:MGI Symbol;Acc:MGI:5010485]	-0.42120759306482	1.78541400950169	0.177142979122621	0.673840103577035	0.776419436929969	2.28498552953801	1.78541400950169	3.90502889731469	0.0481417996380172	0.104625000203414
ENSMUSG00000061024	ENSMUST00000072079	1	Rrs1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1929721]	-0.497486942748174	9.63163368332247	13.9638073407903	0.000186363855990407	0.000743761207088986	-0.371170794463798	9.63163368332247	7.78907164126312	0.00525631974509266	0.0155535869023084
ENSMUSG00000025911	ENSMUST00000144177	1	Adhfe1	alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]	2.86734590886183	9.09274300240191	377.676642248422	3.98838216440593e-84	8.75449885087101e-82	2.30716907506378	9.09274300240191	258.052710596406	4.56020908833568e-58	4.00386357955872e-56
ENSMUSG00000079671	ENSMUST00000115480	1	2610203C22Rik	RIKEN cDNA 2610203C22 gene [Source:MGI Symbol;Acc:MGI:1919731]	0.509133273054309	5.391231177236	5.14760066403118	0.0232785171157848	0.0577359831289803	0.881065310547536	5.391231177236	12.776846193843	0.000350936092392983	0.00145340513736339
ENSMUSG00000067879	ENSMUST00000088666	1	3110035E14Rik	RIKEN cDNA 3110035E14 gene [Source:MGI Symbol;Acc:MGI:1924232]	-1.63889232456958	1.25897189165268	1.44613709664449	0.229148800835963	0.350183913039637	-1.60147251198621	1.25897189165268	1.39008352062464	0.238390995503862	0.36464685374981
ENSMUSG00000025912	ENSMUST00000088658	1	Mybl1	myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]	-0.892640664162962	8.1678997771997	42.4166795591114	7.37583318892283e-11	6.889342063696e-10	-0.276799976064646	8.1678997771997	4.07359271147793	0.043558535825757	0.0970669910025752
ENSMUSG00000045210	ENSMUST00000057438	1	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]	0.0406960446697347	11.1846689159694	0.202165792357112	0.65297833101031	0.758353141041075	-0.00870496670420647	11.1846689159694	0.00923358795368401	0.923447854224344	0.981582585967281
ENSMUSG00000097893	ENSMUST00000181821	1	1700034P13Rik	RIKEN cDNA 1700034P13 gene [Source:MGI Symbol;Acc:MGI:1920581]	0.154535854053874	3.82381069399087	0.169176846972782	0.680844408236638	0.782436374910692	0.849099827040664	3.82381069399087	4.1110462580865	0.0426039984287452	0.0964080170629852
ENSMUSG00000025915	ENSMUST00000166384	1	Sgk3	serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]	-0.652549805745449	8.79650403158137	33.4665115146981	7.25016487511689e-09	5.58389891259003e-08	-0.450158126859116	8.79650403158137	16.0086079676869	6.30551396050523e-05	0.000311024789737281
ENSMUSG00000046334	ENSMUST00000063059	1	Gm6195	predicted pseudogene 6195 [Source:MGI Symbol;Acc:MGI:3647661]	-1.24357800929642	1.66464604688222	1.46214189056669	0.226589630841081	0.350183913039637	0.806727781307053	1.66464604688222	0.568393707761752	0.450897921027627	0.583894590821345
ENSMUSG00000046101	ENSMUST00000052843	1	Mcmdc2	minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]	-3.0541160255103	1.87418455855234	10.1730124249591	0.00142511241404537	0.00484980116097609	2.28097966116239	1.87418455855234	4.68509708433713	0.0304253442876477	0.0725909029471594
ENSMUSG00000098234	ENSMUST00000182580	1	Snhg6	small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074]	0.111171750570751	8.41955138755116	0.640421772603466	0.423558108470663	0.563919718259072	0.120616306645007	8.41955138755116	0.765927819245764	0.381479769580133	0.51529113490978
ENSMUSG00000099032	ENSMUST00000185184	1	Tcf24	transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500]	0.391860446996099	5.93079483389086	2.38303822312903	0.1226587864229	0.222509120825012	0.341592194644876	5.93079483389086	3.23758429382069	0.0719666777838456	0.14902533748636
ENSMUSG00000025916	ENSMUST00000147000	1	Ppp1r42	protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]	0.116952234559202	2.52866457520681	0.0279407640839828	0.867248161441906	0.926330761248167	-0.440073013213537	2.52866457520681	0.455371192140451	0.49979523572389	0.628682259263001
ENSMUSG00000095780	ENSMUST00000179194	1	Gm24674	predicted gene, 24674 [Source:MGI Symbol;Acc:MGI:5454451]	2.28650096248404	1.30002820600693	2.49078144507119	0.114514853255543	0.211226977223459	1.55847331510922	1.30002820600693	1.31703869460811	0.251124204696438	0.369692782847503
ENSMUSG00000025917	ENSMUST00000027050	1	Cops5	COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349415]	-0.111528196040765	11.6131305916545	1.16157125521191	0.281139914154603	0.414162490986144	-0.251698794131329	11.6131305916545	5.91996743115729	0.0149702352792163	0.0395899595637105
ENSMUSG00000056763	ENSMUST00000190610	1	Cspp1	centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]	0.309658453215393	9.82040216126327	5.57500781563324	0.0182185837119266	0.0459652772961826	0.125864581118079	9.82040216126327	0.926865836595534	0.335678661934124	0.466338394269242
ENSMUSG00000067851	ENSMUST00000088615	1	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]	-0.31223134423395	11.9424714229008	10.7605255504973	0.0010368793540089	0.00355617215945241	-0.289328064448166	11.9424714229008	9.22605636761226	0.00238594994640481	0.0079403284686423
ENSMUSG00000042501	ENSMUST00000153695	1	Cpa6	carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]	0.720326211753266	5.45955432935162	9.78023862049746	0.0017639742023449	0.00573618277651416	1.05060460113703	5.45955432935162	18.355767891881	1.83263340332304e-05	0.000103144367187027
ENSMUSG00000100648	ENSMUST00000188013	1	Gm28659	predicted gene 28659 [Source:MGI Symbol;Acc:MGI:5579365]	3.41395543936923	1.63031985437888	5.61620586488575	0.0177951321943259	0.04541897112389	-0.454431957550051	1.63031985437888	0.16590319026025	0.68377873772558	0.787871039006639
ENSMUSG00000048960	ENSMUST00000027056	1	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]	0.208346977407508	11.5356755417803	4.00494837314185	0.0453668865116943	0.100586177669868	0.362046419152462	11.5356755417803	12.8357404513851	0.000340060862121441	0.00142177827115536
ENSMUSG00000057715	ENSMUST00000048613	1	A830018L16Rik	RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149]	0.779230110996572	3.04247657882015	1.89796773666628	0.168305970450992	0.283089352597645	0.456074773758694	3.04247657882015	1.13393042550635	0.28693852220385	0.411653631527745
ENSMUSG00000101610	ENSMUST00000187748	1	Gm7560	predicted gene 7560 [Source:MGI Symbol;Acc:MGI:3648484]	-0.114404738907769	2.27952094872264	0.0166689005088188	0.897272115774533	0.94461021300964	-0.890152954916137	2.27952094872264	1.47103240120024	0.225182874679502	0.36343853670699
ENSMUSG00000097628	ENSMUST00000181461	1	Gm2383	predicted gene 2383 [Source:MGI Symbol;Acc:MGI:3780551]	-2.8718999228399	1.34128213801752	4.13444732178595	0.0420187862449726	0.094596139289964	1.5623936227371	1.34128213801752	1.31971084189651	0.250643952111851	0.369692782847503
ENSMUSG00000016918	ENSMUST00000177608	1	Sulf1	sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]	0.942982995962533	11.5233478794757	107.407697241893	3.62396405795118e-25	1.13637158674326e-23	0.750752270578778	11.5233478794757	67.794548730986	1.81450457912202e-16	5.31045006823043e-15
ENSMUSG00000025938	ENSMUST00000188454	1	Slco5a1	solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]	-1.38273899992228	10.6802131187343	77.3228464364179	1.45176964301016e-18	2.65552863867274e-17	-0.225918730882078	10.6802131187343	2.21352788129142	0.136805503784064	0.241195245627326
ENSMUSG00000042414	ENSMUST00000047577	1	Prdm14	PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]	-3.38422565513276	1.92930248327036	13.2836514913931	0.000267730534056596	0.00103099740746356	-1.180448370824	1.92930248327036	1.35956636980255	0.243612647615333	0.368779145872867
ENSMUSG00000005886	ENSMUST00000081713	1	Ncoa2	nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533]	-0.0882132242778615	10.9654249332916	0.87674401635104	0.349095020529409	0.483447047357762	-0.0102317964550597	10.9654249332916	0.0117996739826012	0.913498896402409	0.973364115341402
ENSMUSG00000101476	ENSMUST00000185813	1	Gm29570	predicted gene 29570 [Source:MGI Symbol;Acc:MGI:5580276]	1.32402081432841	2.67256863288925	4.76563843503233	0.0290332895742393	0.0704177575861384	0.860158209176781	2.67256863288925	2.48372223330672	0.115029734458716	0.209535491399902
ENSMUSG00000101171	ENSMUST00000187246	1	Gm7593	predicted gene 7593 [Source:MGI Symbol;Acc:MGI:3647262]	0.422363867427209	1.84223118678647	0.221228993655727	0.638105078248313	0.751013751611286	0.259642031561528	1.84223118678647	0.0784815252768745	0.779365844723527	0.861651252989018
ENSMUSG00000025935	ENSMUST00000027068	1	Tram1	translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]	0.3175828258253	12.5566547039293	13.9383015427882	0.000188909606825091	0.000747128985551486	0.212318725779589	12.5566547039293	6.2434010788343	0.0124656864590316	0.0337804713303388
ENSMUSG00000025937	ENSMUST00000027071	1	Lactb2	lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]	1.05380258952373	10.1828387594785	116.800745227242	3.17406525730281e-27	1.07185742150456e-25	0.726370200651301	10.1828387594785	54.8611332249405	1.29353935383258e-13	2.46897294057609e-12
ENSMUSG00000097711	ENSMUST00000180415	1	Gm5523	predicted pseudogene 5523 [Source:MGI Symbol;Acc:MGI:3649089]	-0.28184203759301	2.83090327580717	0.2710436079327	0.602632568974733	0.722829775354939	-0.898334978432208	2.83090327580717	2.3231834276183	0.127458939279964	0.228385609566955
ENSMUSG00000025932	ENSMUST00000168081	1	Eya1	eyes absent 1 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:109344]	0.0350425635869355	2.47368348426074	0.00257899019899988	0.959497832454051	0.979580345226345	-0.427007833891118	2.47368348426074	0.600393447749752	0.438427947308965	0.571127207325328
ENSMUSG00000054493	ENSMUST00000187401	1	Gm9947	predicted gene 9947 [Source:MGI Symbol;Acc:MGI:3642739]	-0.0960494058421226	4.3009625109679	0.0669479357153548	0.795833546253986	0.877816399008794	1.74702826874832	4.3009625109679	34.1607252079736	5.07427986675269e-09	5.56902215376108e-08
ENSMUSG00000025930	ENSMUST00000027062	1	Msc	musculin [Source:MGI Symbol;Acc:MGI:1333884]	-0.0471503794000827	5.91536634802473	0.041334104878807	0.838894376023285	0.907362987094613	1.50485384706212	5.91536634802473	66.0067421561828	4.49383138352888e-16	1.23299498585574e-14
ENSMUSG00000103492	ENSMUST00000194866	1	Gm37412	predicted gene, 37412 [Source:MGI Symbol;Acc:MGI:5610640]	0.692314600299057	2.89604591247692	1.09371152907849	0.29565031471178	0.431197635077978	1.89109242126894	2.89604591247692	10.7908961174911	0.00102000492137532	0.00382719795285268
ENSMUSG00000081201	ENSMUST00000121569	1	Smt3h2-ps4	SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2149598]	-0.590853173658872	1.78860075874947	0.283448655581029	0.594449703399573	0.716932471957177	-0.963862222182819	1.78860075874947	1.32829041113914	0.249109583248072	0.369692782847503
ENSMUSG00000082193	ENSMUST00000121367	1	Rpl5-ps1	ribosomal protein L5, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3647110]	0.173468918770118	5.05683961145817	0.370932994555634	0.542496144921206	0.663386650753229	0.500327577302145	5.05683961145817	3.04957911327693	0.0807580689406252	0.164133297522845
ENSMUSG00000073737	ENSMUST00000086739	1	Gm10566	predicted gene 10566 [Source:MGI Symbol;Acc:MGI:3642220]	0.699254411675344	2.05281351120202	0.639468835248664	0.423903205069462	0.563919718259072	0.197485331974543	2.05281351120202	0.0497518924429343	0.823495562980024	0.897058442055163
ENSMUSG00000092083	ENSMUST00000175681	1	Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]	-1.66427794159856	2.12065981966648	4.27665557543328	0.0386393052250527	0.0883471614260319	-1.10067755844711	2.12065981966648	1.6682252108252	0.196496421549226	0.329236402174107
ENSMUSG00000025925	ENSMUST00000188371	1	Terf1	telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634]	-0.344793931949192	9.50218115490918	13.5590252524196	0.000231177121529465	0.000898112888065797	-0.118130342974991	9.50218115490918	1.54450806996859	0.213948033334481	0.347863654199397
ENSMUSG00000104379	ENSMUST00000194867	1	Gm37509	predicted gene, 37509 [Source:MGI Symbol;Acc:MGI:5610737]	0.330734038878444	3.1716019377337	0.458268765029468	0.498434181451531	0.636083155980297	-0.401521422402233	3.1716019377337	0.606061838524345	0.43627446237297	0.570459424611774
ENSMUSG00000032719	ENSMUST00000040695	1	Sbspon	somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]	1.32406557196707	2.49305725205534	2.47606647535208	0.11559101509747	0.212319898024223	0.920609343088195	2.49305725205534	3.09130780184849	0.0787115232747498	0.160717947523792
ENSMUSG00000067795	ENSMUST00000115367	1	4930444P10Rik	RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049]	0.738301559058331	1.84263515114076	0.485565370854696	0.485912188276387	0.627232720642322	1.54558888645182	1.84263515114076	3.40186270862173	0.0651228401890725	0.135653099032483
ENSMUSG00000043716	ENSMUST00000140597	1	Rpl7	ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073]	0.263270871878047	14.8587099582064	5.70881098305085	0.016879968734142	0.0436276587933795	0.0466653893476222	14.8587099582064	0.179637321912878	0.671685105757363	0.780078733935138
ENSMUSG00000025921	ENSMUST00000027053	1	Rdh10	retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]	-1.09821918271495	9.04726244988724	86.2559510447719	1.58090947461095e-20	3.30485361597242e-19	-0.344010477259138	9.04726244988724	8.99356452586668	0.00270932009425305	0.00881030756575622
ENSMUSG00000104165	ENSMUST00000192560	1	Gm38249	predicted gene, 38249 [Source:MGI Symbol;Acc:MGI:5611477]	-1.63889232456958	1.30011179044356	1.44613709664449	0.229148800835963	0.350183913039637	-0.0113034218244783	1.30011179044356	0.000164326007856985	0.989772221369559	0.998873575129279
ENSMUSG00000025920	ENSMUST00000162627	1	Stau2	staufen (RNA binding protein) homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1352508]	-0.141391811931185	9.52336973406198	1.94944213935535	0.162646978206112	0.275683488156305	-0.159300914823081	9.52336973406198	2.50051649868972	0.113808967603712	0.208175569908457
ENSMUSG00000025939	ENSMUST00000182554	1	Ube2w	ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049]	0.645798273551346	10.8282305112747	55.8840928449061	7.68720372822254e-14	9.64194981911342e-13	0.551421835608284	10.8282305112747	41.2807341572483	1.31862153405995e-10	1.75416622258278e-09
ENSMUSG00000102457	ENSMUST00000195710	1	Gm38342	predicted gene, 38342 [Source:MGI Symbol;Acc:MGI:5611570]	3.72447377315297	2.16773711749116	17.8013744536791	2.45206048438837e-05	0.000112130682567343	0.480552297878306	2.16773711749116	0.304479816149062	0.581087513112208	0.70860393960072
ENSMUSG00000079658	ENSMUST00000188641	1	Tceb1	transcription elongation factor B (SIII), polypeptide 1 [Source:MGI Symbol;Acc:MGI:1915173]	0.167022511661406	10.7507270790573	2.03792419403434	0.153418882650868	0.264963666438734	0.00661438421834609	10.7507270790573	0.00320900634694787	0.954825524009953	0.997873522690238
ENSMUSG00000100959	ENSMUST00000186738	1	Gm7654	predicted gene 7654 [Source:MGI Symbol;Acc:MGI:3648037]	1.8077967358186	1.84100002171569	3.89178992336154	0.0485226840321827	0.106055407321821	4.05480979270495	1.84100002171569	10.368367229724	0.00128192872189578	0.0046128418763299
ENSMUSG00000025940	ENSMUST00000177501	1	Tmem70	transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068]	0.235326956744326	9.20441529541432	4.36096432207708	0.0367714844308851	0.0858653280061626	-0.0391236076762283	9.20441529541432	0.121261180456266	0.727670642761908	0.821201573708169
ENSMUSG00000025779	ENSMUST00000191260	1	Ly96	lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909]	0.293435391380415	8.29462256051622	4.04837384059081	0.0442139164642201	0.0985274585167137	0.375585924357269	8.29462256051622	6.52404777928668	0.0106425511734105	0.0292004997820452
ENSMUSG00000091020	ENSMUST00000071842	1	Gm5828	predicted gene 5828 [Source:MGI Symbol;Acc:MGI:3644176]	-0.826043654677573	3.33521624598379	3.24838943164779	0.0714936756096618	0.145980109733216	0.463831120209798	3.33521624598379	1.40612984169779	0.235699925479874	0.36464685374981
ENSMUSG00000101640	ENSMUST00000186604	1	Gm28376	predicted gene 28376 [Source:MGI Symbol;Acc:MGI:5579082]	0.731691922646753	1.56237308609836	0.442662634121655	0.505840107121661	0.643663208772201	-3.19037891224273	1.56237308609836	5.3440015208684	0.0207936890663726	0.0524622385065377
ENSMUSG00000042686	ENSMUST00000186024	1	Jph1	junctophilin 1 [Source:MGI Symbol;Acc:MGI:1891495]	-0.216421060562314	4.87986471598333	0.71258912770354	0.398585621922026	0.53839719391929	0.28755002844092	4.87986471598333	1.28978422486737	0.256087719070275	0.373496706550999
